Reference_key,Scenario_key,Region,Sector,Year,Scope,Emissions_MtCO2
Camarasa,-,China,Combined,2020,1_2,149
Camarasa,-,China,Combined,2025,1_2,189
Camarasa,-,China,Combined,2030,1_2,233
Camarasa,-,China,Combined,2035,1_2,261
Camarasa,-,China,Combined,2040,1_2,287
Camarasa,-,China,Combined,2045,1_2,303
Camarasa,-,China,Combined,2050,1_2,291
Burger,-,Germany,Combined,2020,1_2,185
Burger,-,Germany,Combined,2025,1_2,164
Burger,-,Germany,Combined,2030,1_2,143
Burger,-,Germany,Combined,2035,1_2,116
Burger,-,Germany,Combined,2040,1_2,90
Burger,-,Germany,Combined,2045,1_2,62
Burger,-,Germany,Combined,2050,1_2,34
Yu,-,India,Combined,2010,1_2,142
Yu,-,India,Combined,2030,1_2,394
Yu,-,India,Combined,2050,1_2,614
Camarasa,-,NW Europe,Combined,2020,1_2,50
Camarasa,-,NW Europe,Combined,2025,1_2,41
Camarasa,-,NW Europe,Combined,2030,1_2,34
Camarasa,-,NW Europe,Combined,2035,1_2,27
Camarasa,-,NW Europe,Combined,2040,1_2,20
Camarasa,-,NW Europe,Combined,2045,1_2,14
Camarasa,-,NW Europe,Combined,2050,1_2,10
Camarasa,-,SE Europe,Combined,2020,1_2,19
Camarasa,-,SE Europe,Combined,2025,1_2,15
Camarasa,-,SE Europe,Combined,2030,1_2,12
Camarasa,-,SE Europe,Combined,2035,1_2,9
Camarasa,-,SE Europe,Combined,2040,1_2,6
Camarasa,-,SE Europe,Combined,2045,1_2,4
Camarasa,-,SE Europe,Combined,2050,1_2,3
Camarasa,-,South America,Combined,2020,1_2,1
Camarasa,-,South America,Combined,2025,1_2,1
Camarasa,-,South America,Combined,2030,1_2,1
Camarasa,-,South America,Combined,2035,1_2,1
Camarasa,-,South America,Combined,2040,1_2,1
Camarasa,-,South America,Combined,2045,1_2,2
Camarasa,-,South America,Combined,2050,1_2,2
Camarasa,-,US,Combined,2020,1_2,155
Camarasa,-,US,Combined,2025,1_2,152
Camarasa,-,US,Combined,2030,1_2,152
Camarasa,-,US,Combined,2035,1_2,153
Camarasa,-,US,Combined,2040,1_2,156
Camarasa,-,US,Combined,2045,1_2,161
Camarasa,-,US,Combined,2050,1_2,167
Ostermeyer,-,Germany,Residential,2018,1_2,94
Ostermeyer,-,Germany,Residential,2026,1_2,77
Ostermeyer,-,Germany,Residential,2034,1_2,52
Ostermeyer,-,Germany,Residential,2042,1_2,31
Ostermeyer,-,Germany,Residential,2050,1_2,15
IPCC_normative,IMAGE,Africa,Commercial,2020,1,19
IPCC_normative,IMAGE,Africa,Commercial,2030,1,19
IPCC_normative,IMAGE,Africa,Commercial,2040,1,17
IPCC_normative,IMAGE,Africa,Commercial,2050,1,8
IPCC_normative,IMAGE,Africa,Commercial,2020,2,49
IPCC_normative,IMAGE,Africa,Commercial,2030,2,47
IPCC_normative,IMAGE,Africa,Commercial,2040,2,45
IPCC_normative,IMAGE,Africa,Commercial,2050,2,28
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2020,1,93
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2030,1,74
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2040,1,71
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2050,1,53
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2020,2,238
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2030,2,200
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2040,2,103
IPCC_normative,IMAGE,Asia Pacific Developed,Commercial,2050,2,42
IPCC_normative,IMAGE,Eastern Asia,Commercial,2020,1,177
IPCC_normative,IMAGE,Eastern Asia,Commercial,2030,1,250
IPCC_normative,IMAGE,Eastern Asia,Commercial,2040,1,201
IPCC_normative,IMAGE,Eastern Asia,Commercial,2050,1,196
IPCC_normative,IMAGE,Eastern Asia,Commercial,2020,2,314
IPCC_normative,IMAGE,Eastern Asia,Commercial,2030,2,623
IPCC_normative,IMAGE,Eastern Asia,Commercial,2040,2,368
IPCC_normative,IMAGE,Eastern Asia,Commercial,2050,2,236
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2020,1,265
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2030,1,350
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2040,1,330
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2050,1,315
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2020,2,390
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2030,2,345
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2040,2,305
IPCC_normative,IMAGE,Europe and Eurasia,Commercial,2050,2,195
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2020,1,17
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2030,1,30
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2040,1,30
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2050,1,22
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2020,2,48
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2030,2,37
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2040,2,28
IPCC_normative,IMAGE,Latin America and Caribbean,Commercial,2050,2,22
IPCC_normative,IMAGE,Middle East,Commercial,2020,1,20
IPCC_normative,IMAGE,Middle East,Commercial,2030,1,28
IPCC_normative,IMAGE,Middle East,Commercial,2040,1,37
IPCC_normative,IMAGE,Middle East,Commercial,2050,1,22
IPCC_normative,IMAGE,Middle East,Commercial,2020,2,138
IPCC_normative,IMAGE,Middle East,Commercial,2030,2,132
IPCC_normative,IMAGE,Middle East,Commercial,2040,2,124
IPCC_normative,IMAGE,Middle East,Commercial,2050,2,132
IPCC_normative,IMAGE,North America,Commercial,2020,1,223
IPCC_normative,IMAGE,North America,Commercial,2030,1,223
IPCC_normative,IMAGE,North America,Commercial,2040,1,234
IPCC_normative,IMAGE,North America,Commercial,2050,1,191
IPCC_normative,IMAGE,North America,Commercial,2020,2,585
IPCC_normative,IMAGE,North America,Commercial,2030,2,415
IPCC_normative,IMAGE,North America,Commercial,2040,2,255
IPCC_normative,IMAGE,North America,Commercial,2050,2,74
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2020,1,31
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2030,1,27
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2040,1,23
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2050,1,70
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2020,2,129
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2030,2,160
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2040,2,94
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Commercial,2050,2,35
IPCC_normative,IMAGE,Southern Asia,Commercial,2020,1,23
IPCC_normative,IMAGE,Southern Asia,Commercial,2030,1,27
IPCC_normative,IMAGE,Southern Asia,Commercial,2040,1,27
IPCC_normative,IMAGE,Southern Asia,Commercial,2050,1,31
IPCC_normative,IMAGE,Southern Asia,Commercial,2020,2,82
IPCC_normative,IMAGE,Southern Asia,Commercial,2030,2,98
IPCC_normative,IMAGE,Southern Asia,Commercial,2040,2,148
IPCC_normative,IMAGE,Southern Asia,Commercial,2050,2,86
IPCC_normative,IMAGE,Africa,Residential,2020,1,62
IPCC_normative,IMAGE,Africa,Residential,2030,1,71
IPCC_normative,IMAGE,Africa,Residential,2040,1,68
IPCC_normative,IMAGE,Africa,Residential,2050,1,90
IPCC_normative,IMAGE,Africa,Residential,2020,2,115
IPCC_normative,IMAGE,Africa,Residential,2030,2,115
IPCC_normative,IMAGE,Africa,Residential,2040,2,87
IPCC_normative,IMAGE,Africa,Residential,2050,2,25
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2020,1,82
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2030,1,67
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2040,1,52
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2050,1,44
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2020,2,217
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2030,2,174
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2040,2,57
IPCC_normative,IMAGE,Asia Pacific Developed,Residential,2050,2,24
IPCC_normative,IMAGE,Eastern Asia,Residential,2020,1,358
IPCC_normative,IMAGE,Eastern Asia,Residential,2030,1,344
IPCC_normative,IMAGE,Eastern Asia,Residential,2040,1,236
IPCC_normative,IMAGE,Eastern Asia,Residential,2050,1,152
IPCC_normative,IMAGE,Eastern Asia,Residential,2020,2,854
IPCC_normative,IMAGE,Eastern Asia,Residential,2030,2,1006
IPCC_normative,IMAGE,Eastern Asia,Residential,2040,2,388
IPCC_normative,IMAGE,Eastern Asia,Residential,2050,2,196
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2020,1,627
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2030,1,606
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2040,1,469
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2050,1,328
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2020,2,750
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2030,2,550
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2040,2,415
IPCC_normative,IMAGE,Europe and Eurasia,Residential,2050,2,270
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2020,1,102
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2030,1,99
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2040,1,88
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2050,1,77
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2020,2,89
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2030,2,65
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2040,2,38
IPCC_normative,IMAGE,Latin America and Caribbean,Residential,2050,2,36
IPCC_normative,IMAGE,Middle East,Residential,2020,1,164
IPCC_normative,IMAGE,Middle East,Residential,2030,1,147
IPCC_normative,IMAGE,Middle East,Residential,2040,1,136
IPCC_normative,IMAGE,Middle East,Residential,2050,1,107
IPCC_normative,IMAGE,Middle East,Residential,2020,2,174
IPCC_normative,IMAGE,Middle East,Residential,2030,2,149
IPCC_normative,IMAGE,Middle East,Residential,2040,2,152
IPCC_normative,IMAGE,Middle East,Residential,2050,2,174
IPCC_normative,IMAGE,North America,Residential,2020,1,202
IPCC_normative,IMAGE,North America,Residential,2030,1,191
IPCC_normative,IMAGE,North America,Residential,2040,1,160
IPCC_normative,IMAGE,North America,Residential,2050,1,149
IPCC_normative,IMAGE,North America,Residential,2020,2,691
IPCC_normative,IMAGE,North America,Residential,2030,2,489
IPCC_normative,IMAGE,North America,Residential,2040,2,298
IPCC_normative,IMAGE,North America,Residential,2050,2,64
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2020,1,46
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2030,1,61
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2040,1,57
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2050,1,-33
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2020,2,207
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2030,2,196
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2040,2,121
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Residential,2050,2,39
IPCC_normative,IMAGE,Southern Asia,Residential,2020,1,66
IPCC_normative,IMAGE,Southern Asia,Residential,2030,1,53
IPCC_normative,IMAGE,Southern Asia,Residential,2040,1,64
IPCC_normative,IMAGE,Southern Asia,Residential,2050,1,94
IPCC_normative,IMAGE,Southern Asia,Residential,2020,2,226
IPCC_normative,IMAGE,Southern Asia,Residential,2030,2,285
IPCC_normative,IMAGE,Southern Asia,Residential,2040,2,304
IPCC_normative,IMAGE,Southern Asia,Residential,2050,2,152
IPCC_normative,RECC,Africa,Commercial,2020,1,
IPCC_normative,RECC,Africa,Commercial,2030,1,
IPCC_normative,RECC,Africa,Commercial,2040,1,
IPCC_normative,RECC,Africa,Commercial,2050,1,
IPCC_normative,RECC,Africa,Commercial,2020,2,
IPCC_normative,RECC,Africa,Commercial,2030,2,
IPCC_normative,RECC,Africa,Commercial,2040,2,
IPCC_normative,RECC,Africa,Commercial,2050,2,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2020,1,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2030,1,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2040,1,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2050,1,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2020,2,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2030,2,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2040,2,
IPCC_normative,RECC,Asia Pacific Developed,Commercial,2050,2,
IPCC_normative,RECC,Eastern Asia,Commercial,2020,1,
IPCC_normative,RECC,Eastern Asia,Commercial,2030,1,
IPCC_normative,RECC,Eastern Asia,Commercial,2040,1,
IPCC_normative,RECC,Eastern Asia,Commercial,2050,1,
IPCC_normative,RECC,Eastern Asia,Commercial,2020,2,
IPCC_normative,RECC,Eastern Asia,Commercial,2030,2,
IPCC_normative,RECC,Eastern Asia,Commercial,2040,2,
IPCC_normative,RECC,Eastern Asia,Commercial,2050,2,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2020,1,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2030,1,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2040,1,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2050,1,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2020,2,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2030,2,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2040,2,
IPCC_normative,RECC,Europe and Eurasia,Commercial,2050,2,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2020,1,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2030,1,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2040,1,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2050,1,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2020,2,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2030,2,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2040,2,
IPCC_normative,RECC,Latin America and Caribbean,Commercial,2050,2,
IPCC_normative,RECC,Middle East,Commercial,2020,1,
IPCC_normative,RECC,Middle East,Commercial,2030,1,
IPCC_normative,RECC,Middle East,Commercial,2040,1,
IPCC_normative,RECC,Middle East,Commercial,2050,1,
IPCC_normative,RECC,Middle East,Commercial,2020,2,
IPCC_normative,RECC,Middle East,Commercial,2030,2,
IPCC_normative,RECC,Middle East,Commercial,2040,2,
IPCC_normative,RECC,Middle East,Commercial,2050,2,
IPCC_normative,RECC,North America,Commercial,2020,1,
IPCC_normative,RECC,North America,Commercial,2030,1,
IPCC_normative,RECC,North America,Commercial,2040,1,
IPCC_normative,RECC,North America,Commercial,2050,1,
IPCC_normative,RECC,North America,Commercial,2020,2,
IPCC_normative,RECC,North America,Commercial,2030,2,
IPCC_normative,RECC,North America,Commercial,2040,2,
